instance_id,repo,timestamp,pre_commit_sha,build_system,test_class,test_file_path,cmd,rc,final_status,stdout_snippet
fastjson-3203,alibaba/fastjson,2026-02-22 14:23:10,cf5f190e3271d53331777b78970e3093b1b51855,maven,GeneratedTriggerTest_fastjson_3203,src/test/java/com/alibaba/fastjson/GeneratedTriggerTest_fastjson_3203.java,mvn test -Dtest=GeneratedTriggerTest_fastjson_3203,1,reproduced,"[ERROR] Errors: \n[ERROR] GeneratedTriggerTest_fastjson_3203.testTrigger:35 » ArrayIndexOutOfBounds Index 10 out of bounds for length 10\n[INFO] BUILD FAILURE"
jsoup-1046,jhy/jsoup,2026-02-23 09:15:42,87550f7e34011d619717789f6b9776d65377f59d,maven,GeneratedTriggerTest_jsoup_1046,src/test/java/org/jsoup/GeneratedTriggerTest_jsoup_1046.java,mvn test -Dtest=GeneratedTriggerTest_jsoup_1046,1,reproduced,"[ERROR] Failures: \n[ERROR] GeneratedTriggerTest_jsoup_1046.testHtmlParse:28 expected:<[<p>One</p>]> but was:<[&lt;p&gt;One&lt;/p&gt;]>\n[INFO] BUILD FAILURE"
checkstyle-8964,checkstyle/checkstyle,2026-02-23 16:45:01,b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1,maven,GeneratedTriggerTest_checkstyle_8964,src/test/java/com/puppycrawl/tools/checkstyle/GeneratedTriggerTest_checkstyle_8964.java,mvn test -Dtest=GeneratedTriggerTest_checkstyle_8964,1,reproduced,"[ERROR] Errors: \n[ERROR] GeneratedTriggerTest_checkstyle_8964.testIndentation:42 » NullPointer Cannot invoke method because object is null\n[INFO] BUILD FAILURE"
gson-1721,google/gson,2026-02-24 11:05:22,c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2,maven,GeneratedTriggerTest_gson_1721,src/test/java/com/google/gson/GeneratedTriggerTest_gson_1721.java,mvn test -Dtest=GeneratedTriggerTest_gson_1721,1,reproduced,"[ERROR] Errors: \n[ERROR] GeneratedTriggerTest_gson_1721.testTypeAdapter:31 » ClassCast java.lang.String cannot be cast to java.lang.Number\n[INFO] BUILD FAILURE"
jackson-databind-2900,FasterXML/jackson-databind,2026-02-24 19:30:15,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,maven,GeneratedTriggerTest_jackson_databind_2900,src/test/java/com/fasterxml/jackson/databind/GeneratedTriggerTest_jackson_databind_2900.java,mvn test -Dtest=GeneratedTriggerTest_jackson_databind_2900,1,reproduced,"[ERROR] Errors: \n[ERROR] GeneratedTriggerTest_jackson_databind_2900.testDeserialize:45 » JsonMapping Unexpected token (END_OBJECT), expected FIELD_NAME\n[INFO] BUILD FAILURE"
commons-lang-1200,apache/commons-lang,2026-02-25 10:12:05,d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3,maven,GeneratedTriggerTest_commons_lang_1200,src/test/java/org/apache/commons/lang3/GeneratedTriggerTest_commons_lang_1200.java,mvn test -Dtest=GeneratedTriggerTest_commons_lang_1200,1,reproduced,"[ERROR] Errors: \n[ERROR] GeneratedTriggerTest_commons_lang_1200.testSubstring:22 » StringIndexOutOfBounds String index out of range: -1\n[INFO] BUILD FAILURE"
commons-math-1100,apache/commons-math,2026-02-25 22:40:50,e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4,maven,GeneratedTriggerTest_commons_math_1100,src/test/java/org/apache/commons/math3/GeneratedTriggerTest_commons_math_1100.java,mvn test -Dtest=GeneratedTriggerTest_commons_math_1100,1,reproduced,"[ERROR] Errors: \n[ERROR] GeneratedTriggerTest_commons_math_1100.testMathLogic:38 » MathArithmetic / by zero\n[INFO] BUILD FAILURE"
fastjson-3199,alibaba/fastjson,2026-02-26 08:05:11,f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5,maven,GeneratedTriggerTest_fastjson_3199,src/test/java/com/alibaba/fastjson/GeneratedTriggerTest_fastjson_3199.java,mvn test -Dtest=GeneratedTriggerTest_fastjson_3199,1,reproduced,"[ERROR] Failures: \n[ERROR] GeneratedTriggerTest_fastjson_3199.testUnclosedString:25 Expected JSONException but no exception was thrown.\n[INFO] BUILD FAILURE"
jsoup-1100,jhy/jsoup,2026-02-26 14:55:33,a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6,maven,GeneratedTriggerTest_jsoup_1100,src/test/java/org/jsoup/GeneratedTriggerTest_jsoup_1100.java,mvn test -Dtest=GeneratedTriggerTest_jsoup_1100,1,reproduced,"[ERROR] Errors: \n[ERROR] GeneratedTriggerTest_jsoup_1100.testTreeBuilder:50 » IllegalArgument String must not be empty\n[INFO] BUILD FAILURE"
checkstyle-9100,checkstyle/checkstyle,2026-02-27 09:20:18,b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7,maven,GeneratedTriggerTest_checkstyle_9100,src/test/java/com/puppycrawl/tools/checkstyle/GeneratedTriggerTest_checkstyle_9100.java,mvn test -Dtest=GeneratedTriggerTest_checkstyle_9100,1,reproduced,"[ERROR] Failures: \n[ERROR] GeneratedTriggerTest_checkstyle_9100.testAstTree:60 expected:<[METHOD_DEF]> but was:<[VARIABLE_DEF]>\n[INFO] BUILD FAILURE"
